id,question_text,correct_answer,option_A,option_B,option_C,option_D,option_E,option_F,category,origin
1,"Ľudmila dá štyri celé kocky ľadu na panvicu na začiatku prvej minúty, potom päť na začiatku druhej minúty a ešte nejaké na začiatku tretej minúty, no v štvrtej minúte nepridá žiadne. Ak bol priemerný počet kociek ľadu pridaných na panvicu, počas prípravy praženice, päť za minútu, koľko celých kociek ľadu sa nachádza na panvici na konci tretej minúty?",B,30,0,20,10,11,5,Chytáky,verejný dataset benchmarku SimpleBench
2,"Gustáv zbiera nálepky do albumu. V pondelok nalepil 6 nálepiek. V utorok nalepil 7 nálepiek. V stredu nalepil neznámy počet nálepiek. Vo štvrtok nenalepil žiadne nálepky. Ak bol priemerný počet nálepiek nalepených za deň počas týchto štyroch dní 8, koľko nálepiek mal Gustáv v albume na konci stredy?",E,19,6,7,8,32,24,Matematika,autorsky vytvorená otázka
3,"Tomáš hádže do fontány mince pre šťastie. Počas prvej minúty hodí do fontány 3 mince, počas druhej minúty pridá 5 mincí a počas tretej minúty ešte 1 mincu. Potom už nepridá žiadne mince, no pri fontáne ostane ešte niekoľko hodín. Ak bol priemerný počet mincí hodených do fontány počas prvých troch minút rovný 3 za jednu minútu, koľko mincí hodil Tomáš do fontány počas prvej hodiny, strávenej pri fontáne?",D,11,8,13,9,7,10,Chytáky,autorsky vytvorená otázka
4,Žonglér vyhodí pevnú modrú loptičku meter do vzduchu a potom pevnú fialovú loptičku (rovnakej veľkosti) dva metre do vzduchu. Potom opatrne vylezie na vrchol vysokého rebríka a na hlave balansuje so žltým balónom. Kde sa teraz s najväčšou pravdepodobnosťou nachádza fialová loptička vo vzťahu k modrej loptičke?,A,V rovnakej výške ako modrá loptička.,V rovnakej výške ako žltý balón.,Vnútri modrej loptičky.,Nad žltým balónom.,Pod modrou loptičkou.,Nad modrou loptičkou.,Priestorové,verejný dataset benchmarku SimpleBench
5,Drahoslav pustí do vzduchu dva balóny. Jeden balón je čerstvo naplnený héliom a druhý balón je naplnený obyčajným vzduchom. Obe púšťa súčasne z rovnakej výšky. Kde sa pravdepodobne nachádza balón naplnený vzduchom vo vzťahu ku balónu naplnenému héliom po jednej minúte?,C,Vyššie ako balón s héliom.,V rovnakej výške ako balón s héliom.,Na zemi.,Stále vzduchom klesá nadol.,"Mierne nižšie oproti balónu s héliom, no stále vo vzduchu.",Niekde v stratosfére.,Priestorové,autorsky vytvorená otázka
6,"Jakub, Ján a Jonáš sa zúčastňujú pretekov mužov na 200 metrov a štartujú z rovnakej pozície. Keď sa preteky začnú, 30 ročný Jakub pomaly počíta od -10 do 10, kým sa potáca za cieľovou čiarou 200 metrov, 20 ročný športovec Ján sa ponáhľa po schodoch miestneho obytného vežiaka, na pár sekúnd sa zastaví, aby obdivoval strechy ostatných mestských vežiakov a potom sa pustí do behu na 200 metrov, zatiaľ čo vyčerpaný 50 ročný Jonáš stihne prečítať dlhý status na Facebooku, zamávať kamarátovi a premýšľať pár minút o večeri, kým prejde cieľovou čiarou 200 metrov. Kto pravdepodobne skončil posledný?",A,Ján pravdepodobne skončil posledný.,"Jakub a Jonáš pravdepodobne skončili poslední, v rovnakom čase.",Jonáš pravdepodobne skončil posledný.,Jakub pravdepodobne skončil posledný.,Všetci skončili súčasne.,Ján a Jonáš pravdepodobne skončili poslední.,Časové,verejný dataset benchmarku SimpleBench
7,"Rebeka, Radovan a Richard sa zúčastňujú maratónu v Košiciach. Tento ročník však prebieha netradične a čas sa im začne počítať až potom, čo prejdú 100 metrov na kolobežke a následne zjedia veľký zmrzlinový pohár. Rebeka okamžite vyrazí na kolobežke vpred, no po 30 metroch zastaví, aby si urobila rýchlu fotku so zlatým mačiatkom na chodníku. Radovan si pred štartom zapne svoju obľúbenú pesničku do slúchadiel, potom sa vezie svižne, no cestou kolobežkou sa po 50 metroch zastaví a dá si pauzu pri stánku s limonádou, kde najprv vyčká krátku radu ľudí, ktorí taktiež čakajú na limonádu. Richard vyštartuje až o minútu neskôr, lebo si šnuroval tenisky, no keď sa konečne rozbehne, ide naplno bez prestávok. Kto pravdepodobne zje zmrzlinový pohár ako posledný?",A,Radovan pravdepodobne zje pohár ako posledný.,Richard pravdepodobne zje pohár ako posledný.,Rebeka pravdepodobne zje pohár ako posledná.,Všetci traja zjedli pohár súčasne.,Rebeka a Radovan pravdepodobne zjedli pohár ako poslední.,Richard a Rebeka pravdepodobne zjedli pohár ako poslední.,Časové,autorsky vytvorená otázka
8,"Sú tu dve sestry, Monika, ktorá vždy hovorí nepravdy a Andrea, ktorá vždy klame. Neviete, ktorá je ktorá. Môžete položiť jednu otázku jednej sestre, aby ste zistili, ktorá z dvoch ciest vedie k pokladu. Ktorú otázku by ste mali položiť, aby ste našli poklad (ak sú správne dve alebo viac otázok, správna odpoveď bude tá kratšia)?",C,"Čo by povedala vaša sestra, keby som sa jej spýtal, ktorá cesta vedie k pokladu?",Ako sa volá vaša sestra?,Ktorá cesta vedie k pokladu?,"Akú cestu si myslíte, že si vyberiem, ak by ste mali hádať?",Čo je obsahom pokladu?,Aké je telefónne číslo vašej sestry?,Chytáky,verejný dataset benchmarku SimpleBench
9,"Peter potrebuje resuscitáciu od svojho najlepšieho priateľa Pankráca, jediného človeka v okolí. Pankrácove posledné správy na telefóne s Petrom sa však týkali útoku, ktorý podnikol Peter na Pankráca v detstve, kvôli jeho príliš drahej zbierke Pokémon kariet. Pankrác si všetky svoje texty dlhodobo ukladá do cloudu. Pomôže Pankrác Petrovi?",B,Pankrác pravdepodobne nepomôže.,Pankrác veľmi pravdepodobne pomôže.,"Pankrác, síce s veľkou nechuťou, no nakoniec pomôže.",Pankrác nepomôže.,Pankrác bude resuscitáciu predstierať.,"Pankrác bude hlboko uvažovať o tom, či pomôže.",Sociálne,verejný dataset benchmarku SimpleBench
10,"Zatiaľ čo Jana bola na kilometre vzdialená od bezstarostného a vyrovnaného Jakuba, bola na rande s Jaromírom, ktorého spoznala cez internetovú zoznamku. Jakub je už niekoľko týždňov na lodi bez prístupu na internet a Jana je prvá, ktorá sa po návrate bývalého partnera Jakuba ozve a oznámi mu (s istotou a vážnosťou) novinky o jej drastickej histamínovej diéte, skákajúcom novom psovi, rýchlo sa blížiacej globálnej jadrovej vojne a nakoniec o jej novej známosti zo zoznamky, teda o Jaromírovi. Jakub je oveľa viac šokovaný, než si Jana dokázala predstaviť. Z čoho je pravdepodobne Jakub najviac zničený?",A,Zo širších medzinárodných udalostí.,Z absencie internetu na lodi.,Zo skákajúceho psa.,Z morskej choroby.,Z drastickej histamínovej diéty.,Z jej novej známosti zo zoznamky.,Sociálne,verejný dataset benchmarku SimpleBench
